match_score,matched_count,missing_count,total_required,label
95,10,1,11,Good Fit
90,9,1,10,Good Fit
88,7,1,8,Good Fit
85,6,1,7,Good Fit
83,5,1,6,Good Fit
80,8,2,10,Good Fit
82,9,2,11,Good Fit
87,7,1,8,Good Fit
91,10,1,11,Good Fit
84,6,1,7,Good Fit
78,7,2,9,Good Fit
80,4,1,5,Good Fit
86,6,1,7,Good Fit
89,8,1,9,Good Fit
92,11,1,12,Good Fit
93,8,1,9,Good Fit
96,9,0,9,Good Fit
81,7,2,9,Good Fit
79,6,2,8,Good Fit
94,10,1,11,Good Fit
65,6,3,9,Needs Work
60,6,4,10,Needs Work
70,7,3,10,Needs Work
68,5,3,8,Needs Work
63,5,3,8,Needs Work
72,8,4,12,Needs Work
67,4,2,6,Needs Work
74,5,2,7,Needs Work
61,4,3,7,Needs Work
69,6,3,9,Needs Work
75,6,2,8,Needs Work
62,5,3,8,Needs Work
71,7,3,10,Needs Work
66,4,2,6,Needs Work
73,8,3,11,Needs Work
64,5,3,8,Needs Work
76,7,2,9,Needs Work
59,4,3,7,Needs Work
77,6,2,8,Needs Work
58,4,3,7,Needs Work
35,2,6,8,Not Ready
40,2,5,7,Not Ready
30,1,7,8,Not Ready
25,1,6,7,Not Ready
45,3,6,9,Not Ready
38,2,6,8,Not Ready
42,3,5,8,Not Ready
28,1,7,8,Not Ready
33,2,5,7,Not Ready
20,1,8,9,Not Ready
48,3,4,7,Not Ready
37,2,5,7,Not Ready
43,3,5,8,Not Ready
31,2,6,8,Not Ready
26,1,7,8,Not Ready
22,1,8,9,Not Ready
47,3,4,7,Not Ready
36,2,6,8,Not Ready
44,3,5,8,Not Ready
29,1,7,8,Not Ready
75,6,2,8,Not Ready
55,5,3,8,Good Fit
45,3,4,7,Needs Work
78,4,3,7,Not Ready
52,4,4,8,Good Fit
48,3,3,6,Needs Work
71,5,3,8,Not Ready
58,5,3,8,Needs Work
42,3,4,7,Good Fit
77,6,2,8,Needs Work
73,5,2,7,Not Ready
56,4,3,7,Good Fit
49,3,3,6,Needs Work
76,6,2,8,Not Ready
53,4,4,8,Good Fit
46,3,3,6,Needs Work
74,5,2,7,Not Ready
57,5,3,8,Needs Work
41,3,4,7,Good Fit
79,6,2,8,Needs Work
50,4,4,8,Good Fit
44,3,4,7,Needs Work
72,5,2,7,Not Ready
54,4,3,7,Good Fit
47,3,3,6,Needs Work
70,5,3,8,Not Ready
60,5,3,8,Needs Work
39,2,5,7,Good Fit
80,7,2,9,Needs Work
51,4,4,8,Good Fit
43,3,4,7,Needs Work
69,5,3,8,Not Ready
61,5,3,8,Needs Work
38,2,5,7,Good Fit
81,7,2,9,Needs Work
52,4,4,8,Good Fit
46,3,3,6,Needs Work
68,5,3,8,Not Ready
62,5,3,8,Needs Work
37,2,5,7,Good Fit
82,7,2,9,Needs Work
